Question_ID	Option	%
253	Very afraid	27
253	Somewhat afraid	46
253	Not very afraid	20
253	Not afraid at all 	6
253	They already have the virus	0
253	Don't know/Refuse	0.01
254	Being blown way out of proportion	4
254	Partly blown out of proportion	13
254	Partly correct level of response to this real threat	18
254	Correct level of response to this very real threat	63
254	I don't know	2
255	Cough	9
255	Sore throat	7
255	Difficulty breathing	3
255	Fever	2
256	Yes, someone who lives in my home	1
256	Yes, a friend or family member who does not live with me	3
256	Yes, an acquaintance	5
256	No	92
256	Don't know	1
258	Practiced social distancing myself	97
258	Keep a safe distance of 2 meters when you are in contact with people	95
258	Wash your hands more frequently than usual	95
258	Stopped going out except for necessities	94
258	Use your elbow when coughing or sneezing	92
258	Asked your family and friends to practice social distancing	86
258	Visit your friends and family	15
259	Yes	64
259	No	34
259	Don't know	3
260	Grocery shopping	71
260	Grocery shopping online	12
260	Go to a convenience store	17
260	Go to a liquor store	15
260	Get take-out food from a restaurant	20
260	Get food delivered to your home or business	15
260	Pharmacy	31
260	None of the above	12
261	Your retirement savings or other investments	54
261	Decrease in your income	45
261	Your capacity to assist other family members financially	41
261	Your capacity to meet your financial obligations (pay bills on time)	27
261	Your capacity to pay your mortgage or rent	22
262	Lost your job and pay permanently	3
262	Lost your job and pay temporarily	17
262	Lost some of your pay or lost some income from your work	14
262	Had no impact on my job	30
262	Not applicable (i.e. retired, at home, not in the work force)	35
263	Very satisfied	26
263	Somewhat satisfied	44
263	Somewhat dissatisfied	16
263	Very dissatisfied	9
263	Don't know/Refuse	4
264	Very satisfied	40
264	Somewhat satisfied	40
264	Somewhat dissatisfied	11
264	Very dissatisfied 	5
264	Don't know/Refuse	4
265	Very satisfied	24
265	Somewhat satisfied	43
265	Somewhat dissatisfied	14
265	Very dissatisfied	7
265	Don't know/Refuse	12
266	Very satisfied	20
266	Somewhat satisfied	20
266	Somewhat dissatisfied	11
266	Very dissatisfied	7
266	Don't know/Refuse	3
266	Does not apply to my situation	39
267	Totally agree	64
267	Somewhat agree	28
267	Somewhat disagree	6
267	Totally disagree	2
268	Totally agree	51
268	Somewhat agree	31
268	Somewhat disagree 	13
268	Totally disagree	5
269	Totally agree	44
269	Somewhat agree	33
269	Somewhat disagree 	16
269	Totally disagree 	6
270	The worst of the crisis is behind us	3
270	We are in the worst period of the crisis now	23
270	The worst of the crisis is yet to come	65
270	I don't know / I prefer not to answer	9
271	Very afraid	25
271	Somewhat afraid 	38
271	Not very afraid	22
271	Not afraid at all	12
271	I already have or have been exposed to the virus	0
271	Don't know/Refuse	3
272	Very afraid	30
272	Somewhat afraid	38
272	Not very afraid 	18
272	Not afraid at all 	11
272	They already have the virus	0
272	Don't know/Refuse	3
273	Being blown way out of proportion	12
273	Partly blown out of proportion	18
273	Partly correct level of response to this real threat	20
273	Correct level of response to this very real threat	47
273	Don't know/Refuse	4
274	Cough	11
274	Sore throat	8
274	Difficulty breathing	4
274	Fever	3
275	Yes, someone who lives in my home	1
275	Yes, a friend or family member who does not live with me	4
275	Yes, an acquaintance	4
275	No	88
275	Don't know	2
277	A major threat	92
277	A minor threat	7
277	Not a threat	1
278	A major threat	77
278	A minor threat	22
278	Not a threat	1
279	A major threat	73
279	A minor threat	25
279	Not a threat	2
280	A major threat	54
280	A minor threat	35
280	Not  a threat	11
281	A major threat 	45
281	A minor threat 	47
281	Not a threat 	8
282	Practiced social distancing myself	92
282	Keep a safe distance of 2 meters when you are in contact with people	86
282	Wash your hands more frequently than usual	90
282	Stopped going out except for necessities	85
282	Use your elbow when coughing or sneezing	84
282	Asked your family and friends to practice social distancing	72
282	Visit your friends and family	28
283	Yes 	52
283	No 	43
283	Don't know	5
284	Grocery shopping 	71
284	Grocery shopping online	25
284	Go to a convenience store	23
284	Go to a liquor store	10
284	Get take-out food from a restaurant	33
284	Get food delivered to your home or business	17
284	Pharmacy	24
284	None of the above	12
285	Your retirement savings or other investments	42
285	Decrease in your income	42
285	Your capacity to assist other family members financially	35
285	Your capacity to meet your financial obligations (pay bills on time)	28
285	Your capacity to pay your mortgage or rent	21
286	Lost your job and pay permanently	3
286	Lost your job and pay temporarily	11
286	Lost some of your pay or lost some income from your work	20
286	Had no impact on my job	31
286	Not applicable (i.e. retired, at home, not in the work force)	35
289	The worst of the crisis is behind us	7
289	We are in the worst period of the crisis now	26
289	The worst of the crisis is yet to come	53
289	I don't know / I prefer not to answer	14
290	I have contracted it	1
290	People I know have contracted it	11
290	Both I and people I know have contracted it	1
290	No one I know has contracted it	88
291	Very concerned	33
291	Somewhat concerned	45
291	Not that concerned	17
291	Not concerned at all	5
291	Don’t know/No answer	1
292	Very concerned	47
292	Somewhat concerned	39
292	Not that concerned	10
292	Not concerned at all	3
292	Don’t know/No answer	1
293	Very concerned	24
293	Somewhat concerned	22
293	Not that concerned	16
293	Not at all concerned	26
293	Don’t know/Unsure	13
294	I am in mandatory quarantine at a place outside my home	1
294	I am in mandatory quarantine in my home	5
294	I am voluntarily self-isolating at home	76
294	I am neither in mandatory quarantine nor voluntary self-isolating because I am still going to work regularly outside my home	14
294	I am neither in mandatory quarantine nor voluntary self-isolating because I do not believe this will help the situation	4
295	A lot	80
295	A little	8
295	A little less	1
295	A lot less	3
295	No difference or change	7
296	A lot	75
296	A little	8
296	A little less	1
296	A lot less	4
296	No difference or change	11
297	A lot	67
297	A little 	25
297	A little less	1
297	A lot less	0
297	No difference or change	7
298	A lot	43
298	A little	14
298	A little less	1
298	A lot less	1
298	No difference or change	41
299	A lot	42
299	A little	34
299	A little less	1
299	A lot less	1
299	No difference or change	23
300	Strongly support	0.44
300	Somewhat support	0.25
300	Neither support nor oppose	0.08
300	Somewhat oppose	11
300	Strongly oppose	11
301	Leave home only for essentials	67
301	I still go out when I want	13
301	My life is essentially the same	19
301	Unsure	1
302	Normally work from home	8
302	Now forced to work at home	19
302	Still working outside home	26
302	Laid off or furloughed	14
302	Not employed before outbreak	33
303	Yes, reduced by a lot	19
303	Yes, reduced by a little	20
303	No change in income	50
303	Yes, increased by a little	3
303	Yes, increased by a lot	3
303	Unsure	0.04
304	Already had layoffs/furloughs	26
304	Extremely concerned	15
304	Moderately concerned	13
304	A little concerned	15
304	Not concerned at all	18
304	Nobody employed before outbreak	11
304	Unsure	2
305	Yes, should remain the same	43
305	Yes, but they should be reduced	11
305	No, lift for now, then reinstate	19
305	No, permanently lifted	10
305	Unsure	18
306	Agree	79
306	Neither	11.6
306	Disagree	9.4
307	Agree	96.3
307	Neither	2.8
307	Disagree	1
308	Agree	94.4
308	Neither	3.6
308	Disagree	2
309	Agree	96.1
309	Neither	2.7
309	Disagree	1.2
310	Agree	99.1
310	Neither	0.5
310	Disagree	0.4
311	Agree	16.4
311	Neither	8.6
311	Disagree	75.1
312	A lot	37
312	A little 	36
312	A little less	6
312	A lot less	4
312	No difference or change	16
313	A lot	33
