Question_ID	Option	%
1	Very worried	12
1	Somewhat worried	24
1	Not too worried	37
1	Not worried at all	28
2	Very confident	31
2	Somewhat confident	46
2	Not too confident	16
2	Not at all confident	6
2	No opinion	1
3	Very negative effect	16
3	Somewhat negative effect	49
3	Not a negative effect	34
3	No opinion	1
4	I know a lot about Coronavirus	33.7
4	I know somewhat Coronavirus	51.3
4	I know very little about Coronavirus	15
5	Very high	29.8
5	High	30.5
5	Low	38.5
5	Very low	21.3
6	Yes	26.7
6	No	52.1
6	Don't	21.1
7	Yes	85.9
7	No	14.1
8	The CDC	26.2
8	WHO	15.1
8	Trump	6.7
8	Television	29
8	Print News	4.9
8	Social	7.4
8	Family and friends	4.5
8	Somewhere else	6.2
9	0 times a day	45.2
9	1-5 times a day	39.5
9	6-10 times a day	6.2
9	More than 10 times a day	5.3
10	Yes	15.2
10	No	35.9
10	Missing... System	48.9
11	Other	16.1
11	My friends	25.9
11	Government authorities	19.6
11	News organizations	34.6
12	Call a doctor	46
12	Go to a doctor	10
12	Call my local health department	9
12	Go to the ER	7
12	Go to an urgent care clinic	4
12	Just stay home	20
12	Unsure	5
13	Yes	39
13	No	62
14	Yes	57
14	No	43
15	Yes	40
15	No	60
16	Yes	24
16	No	76
17	Yes	64
17	No	36
18	Yes	88
18	No	12
19	Yes	33
19	No	67
20	Helpful in containing	69
20	Not helpful	11
20	Don't know	20
21	Helpful in containing	71
21	Not helpful	9
21	Don't know	20
22	Helpful in containing	68
22	Not helpful	15
22	Don't know	17
23	I know a lot about Coronavirus	33.1
23	I know somewhat Coronavirus	51.1
23	I know very little about Coronavirus	15.8
24	Very high	12.3
24	High	28.9
24	Low	38.2
24	Very low	20.6
25	Yes	26.2
25	No	55.4
25	Don't	18.4
26	Yes	82.1
26	No	17.9
27	The CDC	27.8
27	WHO	18.7
27	Trump	4.4
27	Television	26.2
27	Print News	4.4
27	Social	9.8
27	Family and friends	4.8
27	Somewhere else	3.9
28	0 times a day	35.4
28	1-5 times a day	49.8
28	6-10 times a day	6.6
28	More than 10 times a day	6.7
29	Yes	19.6
29	No	43.5
29	Missing... System	36.9
30	Other	9
30	My friends	31.8
30	Government authorities	17.6
30	News organizations	40.2
31	Call a doctor	34.7
31	Go to a doctor	12.9
31	Call my local health department	9
31	Go to the ER	9.6
31	Go to an urgent care clinic	3.2
31	Just stay home	26.8
31	Unsure	3.7
32	Yes	49.2
32	No	50.8
33	Yes	63.1
33	No	36.9
34	Yes	41.6
34	No	58.4
35	Yes	23.9
35	No	76.1
36	Yes	62.2
36	No	37.8
37	Yes	89.8
37	No	10.2
38	Yes	34.1
38	No	65.9
39	Helpful in containing	62.2
39	Not helpful	15.6
39	Don't know	22.2
40	Helpful in containing	69.3
40	Not helpful	8.2
40	Don't know	22.6
41	Helpful in containing	67.4
41	Not helpful	12.2
41	Don't know	20.4
42	Extremely concerned	17
42	Very concerned	45
42	Not very concerned	31
42	Not at all concerned	5
42	Don't know	2
43	Personal economic issue	23
43	Personal health issues	21
43	Both economic and health issues	52
43	DNK	4
43	Refusal	1
44	Yes	42
44	No	37
44	Don't know	20
45	Yes	37
45	No	62
45	Refusal	1
46	Yes, if testing were available for the coronavirus	61
46	Yes, only if you might have been exposed to the coronavrius	26
46	No, would not want to get tested	12
47	Very important	37
47	Somewhat important	31
47	Not that important	16
47	Not important at all	14
48	Completely trust	46
48	Mostly trust	13
48	Somewhat trust	16
48	trust a little	13
48	Not at all	40
49	Completely trust	13
49	Mostly trust	13
49	Somewhat trust	22
49	Trust a little	18
49	Not at all	31
50	Completely trust	12
50	Mostly trust	24
50	Somewhat trust	34
50	Trust a little	16
50	Not at all	12
51	Completely trust	20
51	Mostly trust	32
51	Somewhat trust	27
51	Trust a little	11
51	Not at all	8
52	Completely trust	45
52	Mostly trust	32
52	Somewhat trust	16
52	Trust a little	4
52	Not at all	2
53	Very Confident	19
53	Somewhat confident	44
53	Not that confident	16
53	Not at all confident	17
54	Very Confident	21
54	Somewhat confident	29
54	Not that confident	16
54	Not at all confident	30
55	Approve	44
55	Disapprove	49
55	Unsure	7
56	Very concerned	31
56	Concerned	29
56	Not very concerned	21
56	Not concerned at all	9
56	Unsure	<1
57	Doing enough	46
57	Not doing enough	44
57	Unsure	10
58	Doing enough	65
58	Not doing enough	23
58	Unsure	12
59	Yes	2
59	No	97
59	Unsure	1
60	Yes	46
60	No	53
60	Unsure	1
61	Yes	42
61	No	58
61	Unsure	<1
62	Yes	30
62	No	69
62	Unsure	1
63	Yes	48
63	No	52
63	Unsure	<1
64	Yes	33
64	No	66
64	Unsure	<1
65	Yes	18
65	No	82
65	Unsure	<1
66	A great deal	16
66	A good amount	21
66	Not very much	24
66	Not at all	36
66	Unsure	3
67	A great deal	15
67	A good amount	35
67	Not very much	28
67	Not at all	19
67	Unsure	3
68	A great deal	27
68	A good amount	45
68	Not very much	16
68	Not at all	8
68	Unsure	3
69	A great deal	43
69	A good amount	41
69	Not very much	9
69	Not at all	4
69	Unsure	3
70	A real threat	56
70	Blown out of proportion	38
70	Unsure	6
71	Very afraid	16
71	Somewhat afraid	41
71	Not very afraid	29
71	Not afraid at all	12
72	Very afraid	26
72	Somewhat afraid	44
72	Not very afraid	21
72	Not afraid at all	6
72	They already have the virus	>0
72	Don't know/Refuse	2
73	Being blown way out of proportion	4
73	Partly blown out of proportion	16
73	Partly correct level of response to this real threat	19
73	Correct Level of response to this very real threat	58
73	I don't know	2
74	Yes	2
74	No	98
75	Yes	13
75	No	87
76	Yes	10
76	No	90
77	Yes	4
77	No	96
78	Yes	4
78	No	95
78	Don't know	2
79	Yes	83
79	No	17
80	Yes	79
80	No	21
81	Yes	47
81	No	53
82	Yes	84
82	No	16
83	Yes	56
83	No	44
84	Yes	54
84	No	46
85	Self-isolcate for 14 days	64
85	will not self-isolate	7
85	will self-isolate but only in part	29
86	Yes	38
86	No	62
87	Yes	16
87	No	84
88	Yes	27
88	No	73
89	Yes	21
89	No	79
90	Yes	48
90	No	52
91	Yes	35
91	No	65
92	Very satisfied	39
92	Somewhat satisfied	40
92	Somewhat dissatisfied	10
92	Very dissatisfied	6
92	Don't know/Refuse	5
93	A few days	2
93	A few weeks	23
93	A few months	63
93	More than a year	12
94	Yes	9
94	No	80
94	Don't know	11
95	Grocery shopping	60
95	Get take-out food from a resturant	19
95	Get food delivered to your home or business	15
95	Go to a convenience store	14
95	Go to a liquor store	11
95	Grocery shopping online with pick-up	9
95	Visit friends	5
95	Eat out at a resutrant/bar	2
95	None of the above	23
96	Very well	13
96	Somewhat well	30
96	somwehat badly	32
96	Very badly	25
97	A crisis	13
97	A very serious problem, but not a crisis	32
97	A somewhat serious problem	11
97	Not much of a problem	6
98	Very good	28
98	Somewhat good	25
98	Somewhat bad	15
98	Very bad	32
99	Very good	9
99	Somewhat good	43
99	Somewhat bad	30
99	Very bad	18
100	Approve	85
100	Disapprove	15
101	Prepared to deal with this outbreak as it was starting	34
101	Unprepared to deal with this outbreak as it was starting	66
102	Overreacting	45
102	About right	47
102	Not taking it seriously enough	8
103	Overreacting	6
103	About right	51
103	Not taking it seriously enough	43
104	Overreacting	8
104	About right	85
104	Not taking it seriously enough	7
105	Overreacting	17
105	About right	68
105	Not taking it seriously enough	15
106	Overreacting	15
106	About right	67
106	Not taking it seriously enough	18
107	All the time	13
107	Pretty often	41
107	Once in a while	34
107	Not at all	13
108	All the time	8
108	Pretty often	17
108	Once in a while	37
108	Not at all	38
109	All the time	12
109	Pretty often	23
109	Once in a while	39
109	Not at all	27
110	All the time	17
110	Pretty often	26
110	Once in a while	35
110	Not at all	21
111	All the time	19
111	Pretty often	43
111	Once in a while	27
111	Not at all	11
112	All the time	21
112	Pretty often	34
112	Once in a while	31
112	Not at all	14
113	All the time	10
113	Pretty often	15
113	Once in a while	25
113	Not at all	50
114	All the time	7
114	Pretty often	19
114	Once in a while	39
114	Not at all	35
115	Disbelief that it is really happening	23
115	Anger that it as happened	21
115	Determination to fight it	28
115	Accepting it and just doing what I can to stay safe	65
115	Hopeful it will be contained	44
116	Optimistic	54
116	Pessimistic	46
117	Optimistic	82
117	Pessimistic	18
118	Optimistic	65
118	Pessimistic	35
119	Optimistic	59
119	Pessimistic	41
120	Trust	44
120	Don't trust	56
121	Trust	66
121	Don't trust	34
122	Trust	51
122	Don't trust	49
123	Trust	82
123	Don't trust	18
124	Trust	88
124	Don't trust	12
125	Trust	43
125	Don't trust	57
126	Trust	23
126	Don't trust	77
127	Trust	73
127	Don't trust	27
128	More	36
128	Same	49
128	Less	15
129	More	22
129	Same	61
129	Less	18
130	More	36
130	Same	54
130	Less	10
131	More	29
131	Same	61
131	Less	10
132	Very concerned	30
132	Somewhat concerned	41
132	Not very concerned	20
132	Not at all concerned	9
133	Living normally, coming and going as usual	10
133	Still going out, but being careful when I do"	23
133	Only going out when I absolutely have to	55
133	Not leaving home	12
134	It is already	4
134	In the next few weeks	23
134	In the next few months	47
134	In the next year	17
134	Longer than that	5
134	Never	3
135	It was a defining event that changed the country and a generation forever	40
135	It was a big challenge that changed things for a while, but not permanently for most people	44
135	It was just one of many challenges that America faced, not one that changed the country	15
136	Yes, I would	57
136	No, I wouldn't	43
137	Yes	31
137	No	69
138	Doing remote learning	68
138	Not doing remote learning	32
139	Able to work from home or remotely, and doing so	18
139	Able to work from home or remotely, but choosing not to	4
139	Not able to work from home, and still going to work	16
139	Not able to work from home, and not going to work	13
139	Was not working outside the home before / am retired	36
139	Something else	13
140	A lot	12
140	Some	30
140	Not Much	25
140	Nothing at all	33
141	A lot	35
141	Some	44
141	Not Much	13
141	Nothing at all	9
142	A lot	43
142	Some	33
142	Not Much	12
142	Nothing at all	13
143	A lot	30
143	Some	39
143	Not Much	16
143	Nothing at all	15
144	A lot	24
144	Some	31
144	Not Much	18
144	Nothing at all	27
145	Very concerned	53
145	Somewhat concerned	36
145	Not very concerned	7
145	Not at all concerned	3
145	Don't Know / No Opinion	1
146	Very Disruptive	35
146	Somewhat disruptive	43
146	Not that disruptive	17
146	Not disruptive at all	4
147	Yes, a major impact	24
147	Yes, a minor impact	21
147	No, no impact at all	55
148	Excellent	25
148	Good	17
148	Just Fair	13
148	Poor	39
148	Don't Know / No Opinion	5
149	Excellent	21
149	Good	21
149	Just Fair	17
149	Poor	26
149	Don't Know / No Opinion	14
150	Excellent	6
150	Good	29
150	Just Fair	35
150	Poor	15
150	Don't Know / No Opinion	16
151	Excellent	10
151	Good	25
151	Just Fair	27
151	Poor	21
151	Don't Know / No Opinion	17
152	Excellent	11
152	Good	26
152	Just Fair	23
152	Poor	24
152	Don't Know / No Opinion	17
153	Excellent	9
153	Good	26
153	Just Fair	27
153	Poor	21
153	Don't Know / No Opinion	17
154	Excellent	11
154	Good	25
154	Just Fair	22
154	Poor	25
154	Don't Know / No Opinion	17
155	Excellent	9
155	Good	26
155	Just Fair	27
155	Poor	21
155	Don't Know / No Opinion	18
156	Excellent	12
156	Good	24
156	Just Fair	23
156	Poor	25
156	Don't Know / No Opinion	16
157	Excellent	21
157	Good	37
